Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Streptopelia dusumieri,0.4,1,13.28
Streptopelia bitorquata,0.57,1.09,11.4
Streptopelia decaocto,0.57,1.09,12.83
Streptopelia xanthocycla,0.4,1,13.28
Streptopelia roseogrisea,0.54,1.1,11.78
Streptopelia reichenowi,0.55,1.13,10.57
Streptopelia decipiens,0.56,1.06,11.01
Streptopelia semitorquata,0.55,1.12,11.54
Streptopelia capicola,0.54,1.08,11.45
Streptopelia vinacea,0.52,1.02,10.81
Streptopelia tranquebarica,0.51,1.01,11.32
Spilopelia chinensis,0.72,1.24,15.08
Spilopelia suratensis,0.46,1,14.45
Spilopelia senegalensis,0.7,1.13,13.33
Nesoenas picturatus,0.77,1.8,15.62
Nesoenas mayeri,0.79,2,17.4
Nesoenas duboisi,0.46,1.1,14.64
Nesoenas cicur,0.46,1.1,14.64
Nesoenas rodericanus,0.46,1.1,14.64
Macropygia unchall,0.76,1.85,13.06
Macropygia rufipennis,0.77,1.96,12.86
Macropygia emiliana,0.78,2.03,11.93
Macropygia tenuirostris,0.79,2.11,12.85
Macropygia magna,0.74,1.76,11.5
Macropygia amboinensis,0.84,2.17,12.52
Macropygia phasianella,0.77,1.73,11.99
Macropygia ruficeps,0.8,1.76,10.24
Macropygia nigrirostris,0.8,1.8,10.39
Macropygia mackinlayi,0.75,1.62,10.93
Turacoena manadensis,0.8,2.18,15.72
Turacoena modesta,0.78,2.07,16.05
Reinwardtoena reinwardti,0.84,2.24,15.83
Reinwardtoena browni,0.78,2.02,15.55
Reinwardtoena crassirostris,0.81,2.27,16.77
Ectopistes migratorius,0.46,1.1,14.64
Patagioenas leucocephala,0.68,1.42,16.4
Patagioenas squamosa,0.76,1.51,16.75
Patagioenas speciosa,0.68,1.44,15.64
Patagioenas corensis,0.7,1.45,17.29
Patagioenas picazuro,0.71,1.46,18.07
Patagioenas maculosa,0.7,1.46,18.92
Patagioenas albipennis,0.62,1.45,18.21
Patagioenas fasciata,0.7,1.48,19.38
Patagioenas albilinea,0.62,1.45,18.21
Patagioenas araucana,0.66,1.46,16.9
Patagioenas caribaea,0.67,1.52,16.7
Patagioenas cayennensis,0.69,1.52,16.32
Patagioenas flavirostris,0.7,1.57,17.62
Patagioenas oenops,0.63,1.26,15.36
Patagioenas inornata,0.73,1.48,18.4
Patagioenas plumbea,0.69,1.28,13.94
Patagioenas subvinacea,0.67,1.42,15
Patagioenas nigrirostris,0.7,1.44,15.91
Patagioenas goodsoni,0.73,1.58,16.71
Starnoenas cyanocephala,0.82,2.06,15.72
Geotrygon purpurata,0.46,1.1,14.64
Geotrygon saphirina,0.79,1.68,13.14
Geotrygon versicolor,0.81,1.99,15.21
Geotrygon caniceps,0.82,2.01,15.31
Geotrygon leucometopia,0.46,1.1,14.64
Geotrygon montana,0.79,1.8,13.12
Geotrygon violacea,0.77,1.68,12.71
Geotrygon chrysia,0.8,1.88,14.53
Geotrygon mystacea,0.82,2.04,15.38
Leptotrygon veraguensis,0.79,1.85,13.54
Leptotila verreauxi,0.76,1.73,11.91
Leptotila jamaicensis,0.76,1.77,12.74
Leptotila cassinii,0.76,1.76,12.29
Leptotila conoveri,0.7,1.48,11.07
Leptotila ochraceiventris,0.67,1.44,10.8
Leptotila plumbeiceps,0.69,1.49,11.49
Leptotila battyi,0.69,1.47,11.1
Leptotila rufaxilla,0.78,1.82,12.45
Leptotila wellsi,0.77,1.84,12.86
Leptotila pallida,0.69,1.4,10.37
Leptotila megalura,0.78,1.87,13.56
Zentrygon carrikeri,0.84,2.22,16.59
Zentrygon costaricensis,0.8,1.79,14.22
Zentrygon lawrencii,0.84,2.14,15.45
Zentrygon albifacies,0.83,2.09,15.67
Zentrygon frenata,0.85,2.29,16.4
Zentrygon linearis,0.79,1.94,16.12
Zentrygon chiriquensis,0.82,2.12,15.63
Zentrygon goldmani,0.72,1.61,14.25
Zenaida asiatica,0.63,1.12,16.33
Zenaida meloda,0.66,1.11,17.16
Zenaida aurita,0.7,1.19,15.03
Zenaida galapagoensis,0.64,1.06,13.97
Zenaida auriculata,0.61,1.05,15.04
Zenaida macroura,0.61,1.07,16.42
Zenaida graysoni,0.54,1.19,20.32
Columbina inca,0.57,1.47,10.75
Columbina squammata,0.58,1.5,10.39
Columbina passerina,0.57,1.46,8.88
Columbina minuta,0.54,1.36,9.33
Columbina buckleyi,0.47,1.44,9.64
Columbina talpacoti,0.54,1.46,9.96
Columbina picui,0.54,1.47,10.61
Columbina cruziana,0.57,1.48,10.14
Columbina cyanopis,0.46,1.38,9.56
Claravis pretiosa,0.69,1.49,12.37
Claravis mondetoura,0.75,1.43,11.22
Claravis geoffroyi,0.69,1.36,12.12
Metriopelia ceciliae,0.68,1.45,11.54
Metriopelia morenoi,0.66,1.36,11.14
Metriopelia melanoptera,0.7,1.74,14.35
Metriopelia aymara,0.7,1.59,12.71
Uropelia campestris,0.55,1.05,9.93
Henicophaps albifrons,0.79,1.74,13.7
Henicophaps foersteri,0.81,2.03,14.76
Gallicolumba luzonica,0.81,1.94,14.69
Gallicolumba crinigera,0.83,2.08,15
Gallicolumba platenae,0.81,1.94,14.54
Gallicolumba keayi,0.78,1.65,13.15
Gallicolumba menagei,0.78,1.67,13.1
Gallicolumba tristigmata,0.8,1.78,13.86
Gallicolumba rufigula,0.82,1.93,13.74
Alopecoenas hoedtii,0.77,1.6,12.74
Alopecoenas jobiensis,0.79,1.8,13.14
Alopecoenas kubaryi,0.82,2.02,14.43
Alopecoenas xanthonurus,0.74,1.78,13.8
Alopecoenas erythropterus,0.74,1.54,11.36
Alopecoenas rubescens,0.71,1.45,12.14
Alopecoenas beccarii,0.79,1.75,12.47
Alopecoenas johannae,0.46,1.1,14.64
Alopecoenas canifrons,0.69,1.47,13.02
Alopecoenas sanctaecrucis,0.79,1.9,15.91
Alopecoenas stairi,0.78,1.86,15.79
Alopecoenas salamonis,0.46,1.1,14.64
Alopecoenas ferrugineus,0.46,1.1,14.64
Leucosarcia melanoleuca,0.84,2.26,14.09
Petrophassa rufipennis,0.78,1.83,15.32
Petrophassa albipennis,0.75,1.68,14.4
Geophaps plumifera,0.73,1.59,13.94
Geophaps ferruginea,0.46,1.1,14.64
Geophaps scripta,0.78,1.88,16.49
Geophaps smithii,0.77,1.83,15.53
Phaps chalcoptera,0.81,2.11,18.61
Phaps elegans,0.78,1.86,17.18
Phaps histrionica,0.79,1.98,17.34
Ocyphaps lophotes,0.79,1.92,16.9
Geopelia cuneata,0.57,1.28,14.32
Geopelia striata,0.61,1.44,14.84
Geopelia placida,0.6,1.39,15.56
Geopelia maugeus,0.55,1.23,15.31
Geopelia humeralis,0.66,1.69,18.61
Trugon terrestris,0.86,2.41,17.08
Otidiphaps aruensis,0.46,1.1,14.64
Otidiphaps nobilis,0.87,2.52,17.69
Otidiphaps cervicalis,0.46,1.1,14.64
Otidiphaps insularis,0.46,1.1,14.64
Microgoura meeki,0.46,1.1,14.64
Goura cristata,0.89,3.13,24.66
Goura sclaterii,0.46,1.1,14.64
Goura scheepmakeri,0.91,3.38,24.18
Goura victoria,0.89,3.52,25.29
Caloenas nicobarica,0.87,2.55,18.83
Caloenas maculata,0.46,1.1,20.5
Raphus cucullatus,0.46,1.1,14.64
Pezophaps solitaria,0.46,1.1,14.64
Didunculus strigirostris,0.74,1.75,15.72
Chalcophaps indica,0.79,1.8,12.85
Chalcophaps longirostris,0.79,1.1,12
Chalcophaps stephani,0.79,1.78,12.38
Turtur chalcospilos,0.82,1.46,12.28
Turtur abyssinicus,0.81,1.47,12.4
Turtur afer,0.81,1.48,12.07
Turtur tympanistria,0.81,1.5,12.35
Turtur brehmeri,0.88,1.82,12.95
Oena capensis,0.66,1.34,10.95
Phapitreron leucotis,0.57,1.77,13.82
Phapitreron nigrorum,0.34,1.1,14.64
Phapitreron brevirostris,0.34,1.1,14.64
Phapitreron amethystinus,0.58,1.57,12.6
Phapitreron maculipectus,0.34,1.1,14.64
Phapitreron frontalis,0.34,1.1,14.64
Phapitreron brunneiceps,0.55,1.58,12.47
Phapitreron cinereiceps,0.64,1.83,13.32
Treron fulvicollis,0.56,1.93,9.43
Treron olax,0.47,1.66,8.12
Treron vernans,0.54,1.84,9.1
Treron bicinctus,0.47,1.74,9.51
Treron phayrei,0.38,1.1,6.96
Treron affinis,0.38,1.1,6.96
Treron pompadora,0.58,2.06,10.34
Treron chloropterus,0.38,1.1,6.96
Treron axillaris,0.38,1.1,6.96
Treron aromaticus,0.38,1.1,6.96
Treron curvirostra,0.51,1.85,9.51
Treron griseicauda,0.57,2.01,9.97
Treron teysmannii,0.54,1.88,9.63
Treron floris,0.54,1.88,9.6
Treron psittaceus,0.54,1.88,9.62
Treron capellei,0.6,2.13,10.68
Treron phoenicopterus,0.58,2.06,10.92
Treron waalia,0.61,2.18,10.91
Treron griveaudi,0.38,1.1,6.96
Treron australis,0.58,2.05,10.76
Treron calvus,0.57,1.99,9.82
Treron delalandii,0.38,1.1,6.96
Treron pembaensis,0.57,2.01,9.99
Treron sanctithomae,0.56,1.88,9.4
Treron apicauda,0.54,2.03,10.82
Treron oxyurus,0.56,1.88,9.41
Treron seimundi,0.48,1.78,9.31
Treron sphenurus,0.56,2.1,11
Treron sieboldii,0.55,2.08,11.27
Treron permagnus,0.38,1.1,6.96
Treron formosae,0.51,1.86,9.95
Ducula poliocephala,0.8,2.27,15.7
Ducula forsteni,0.81,2.23,15.06
Ducula mindorensis,0.8,2.23,15.48
Ducula radiata,0.81,2.33,14.29
Ducula carola,0.81,2.32,14.79
Ducula aenea,0.83,2.53,16.29
Ducula oenothorax,0.46,1.1,13.99
Ducula perspicillata,0.82,2.35,15.79
Ducula neglecta,0.46,1.1,13.99
Ducula concinna,0.82,2.44,16.56
Ducula pacifica,0.83,2.47,15.99
Ducula oceanica,0.82,2.44,15.2
Ducula aurorae,0.8,2.23,15.59
Ducula galeata,0.84,2.59,16.29
Ducula rubricera,0.85,2.73,16.95
Ducula myristicivora,0.81,2.25,15.16
Ducula geelvinkiana,0.46,1.1,13.99
Ducula rufigaster,0.8,2.17,14.75
Ducula basilica,0.81,2.23,15.01
Ducula obiensis,0.46,1.1,13.99
Ducula finschii,0.79,2.07,14.1
Ducula chalconota,0.81,2.23,15.15
Ducula pistrinaria,0.84,2.6,16.18
Ducula rosacea,0.79,2.12,14.53
Ducula whartoni,0.84,2.66,16.77
Ducula pickeringii,0.81,2.23,15.18
Ducula latrans,0.82,2.43,15.79
Ducula brenchleyi,0.79,2.11,14.53
Ducula bakeri,0.78,2.13,14.85
Ducula goliath,0.8,2.31,16.32
Ducula pinon,0.85,2.81,17.36
Ducula salvadorii,0.46,1.1,13.99
Ducula melanochroa,0.83,2.74,16.93
Ducula mullerii,0.84,2.66,16.53
Ducula zoeae,0.81,2.28,15.51
Ducula cuprea,0.46,1.1,13.99
Ducula badia,0.83,2.57,16.34
Ducula lacernulata,0.78,2.04,12.83
Ducula cineracea,0.8,2.23,15.32
Ducula bicolor,0.82,2.43,15.01
Ducula spilorrhoa,0.82,2.59,16.4
Ducula subflavescens,0.83,2.52,15.62
Ducula luctuosa,0.8,2.14,14.47
Megaloprepia magnifica,0.79,2.13,15.96
Megaloprepia formosa,0.77,1.95,14.01
Ramphiculus merrilli,0.77,1.97,15.53
Ramphiculus marchei,0.77,2.05,16.24
Ramphiculus leclancheri,0.79,2.08,15.59
Ramphiculus jambu,0.76,2,14.4
Ramphiculus epius,0.75,1.75,13.36
Ramphiculus subgularis,0.46,1.1,14.64
Ramphiculus mangoliensis,0.46,1.1,14.64
Ramphiculus fischeri,0.79,2.11,15.22
Ramphiculus meridionalis,0.46,1.1,14.64
Ramphiculus occipitalis,0.76,1.93,15.11
Alectroenas nitidissimus,0.46,1.1,14.64
Alectroenas payandeei,0.46,1.1,14.64
Alectroenas madagascariensis,0.77,2.1,16.17
Alectroenas sganzini,0.79,2.06,15.46
Alectroenas pulcherrimus,0.77,2,14.77
Drepanoptila holosericea,0.77,2.03,16.14
Chrysoena victor,0.72,1.62,12.44
Chrysoena luteovirens,0.72,1.62,12.49
Chrysoena viridis,0.72,1.62,12.55
Ptilinopus nainus,0.48,1.42,10.98
Ptilinopus arcanus,0.54,1.69,13.2
Ptilinopus melanospilus,0.57,1.85,13.42
Ptilinopus cinctus,0.63,2.24,16.61
Ptilinopus alligator,0.45,1.1,14.64
Ptilinopus dohertyi,0.54,1.69,13.17
Ptilinopus porphyreus,0.57,1.8,13.89
Ptilinopus temminckii,0.45,1.1,14.64
Ptilinopus superbus,0.58,1.95,14.84
Ptilinopus rivoli,0.55,1.89,14.13
Ptilinopus speciosus,0.45,1.1,14.64
Ptilinopus solomonensis,0.58,1.91,14.12
Ptilinopus tannensis,0.62,2.18,16.58
Ptilinopus hyogastrus,0.55,1.69,12.88
Ptilinopus granulifrons,0.55,1.69,12.9
Ptilinopus wallacii,0.54,1.69,13.07
Ptilinopus aurantiifrons,0.6,2.05,14.98
Ptilinopus ornatus,0.57,1.79,13.69
Ptilinopus gestroi,0.45,1.1,14.64
Ptilinopus perlatus,0.62,2.18,15.94
Ptilinopus iozonus,0.58,1.93,14.16
Ptilinopus insolitus,0.59,2,14.65
Ptilinopus viridis,0.58,1.96,14.28
Ptilinopus eugeniae,0.53,1.67,13.1
Ptilinopus pulchellus,0.55,1.76,12.85
Ptilinopus monacha,0.53,1.58,12.11
Ptilinopus coronulatus,0.55,1.79,13.12
Ptilinopus regina,0.54,1.89,14.55
Ptilinopus mercierii,0.45,1.1,14.64
Ptilinopus dupetithouarsii,0.57,1.88,14.01
Ptilinopus pelewensis,0.57,1.86,13.72
Ptilinopus richardsii,0.57,1.9,14.24
Ptilinopus roseicapilla,0.56,1.85,14.04
Ptilinopus ponapensis,0.45,1.1,14.64
Ptilinopus hernsheimi,0.45,1.1,14.64
Ptilinopus greyi,0.56,1.81,14.02
Ptilinopus porphyraceus,0.57,1.9,14.64
Ptilinopus fasciatus,0.45,1.1,14.64
Ptilinopus perousii,0.54,1.79,13.87
Ptilinopus huttoni,0.52,1.72,14.03
Ptilinopus insularis,0.51,1.64,13.34
Ptilinopus chalcurus,0.53,1.69,13.38
Ptilinopus coralensis,0.61,1.8,12.04
Ptilinopus chrysogaster,0.45,1.1,14.64
Ptilinopus rarotongensis,0.52,1.69,13.54
Ptilinopus purpuratus,0.57,1.87,14.4
Hemiphaga novaeseelandiae,0.85,2.73,22.73
Hemiphaga chathamensis,0.46,1.1,14.64
Cryptophaps poecilorrhoa,0.81,2.2,16.72
Gymnophaps albertisii,0.81,2.27,16.57
Gymnophaps stalkeri,0.46,1.1,14.64
Gymnophaps mada,0.79,2.06,15.77
Gymnophaps solomonensis,0.79,2.06,15.96
Lopholaimus antarcticus,0.84,2.58,20.46
Syrrhaptes paradoxus,0.73,1.19,17.67
Syrrhaptes tibetanus,0.74,1.26,17.76
Pterocles orientalis,0.75,1.15,18.76
Pterocles namaqua,0.71,0.98,15.11
Pterocles exustus,0.74,1.01,15.02
Pterocles senegallus,0.73,1.06,16.28
Pterocles gutturalis,0.74,1.11,16.21
Pterocles personatus,0.75,1.05,15.81
Pterocles coronatus,0.76,1.09,16.81
Pterocles alchata,0.73,1.07,17.3
Pterocles burchelli,0.73,0.98,15.02
Pterocles decoratus,0.73,0.99,13.84
Pterocles bicinctus,0.76,1.08,16.16
Pterocles quadricinctus,0.75,1.02,14.8
Pterocles lichtensteinii,0.76,1.05,15.64
Pterocles indicus,0.75,1.02,15.39
Steatornis caripensis,0.77,2.13,14.22
Rigidipenna inexpectata,0.78,1.68,11.97
Podargus ocellatus,0.81,2.01,13.96
Podargus papuensis,0.84,2.33,16.18
Podargus strigoides,0.82,2.16,16.27
Batrachostomus auritus,0.83,2.15,13.47
Batrachostomus harterti,0.75,1.46,10.33
Batrachostomus septimus,0.79,1.82,11.91
Batrachostomus stellatus,0.74,1.64,10.31
Batrachostomus moniliger,0.71,1.33,9.61
Batrachostomus hodgsoni,0.75,1.57,10.89
Batrachostomus poliolophus,0.79,1.81,11.42
Batrachostomus mixtus,0.75,1.46,10.35
Batrachostomus javensis,0.74,1.54,10
Batrachostomus cornutus,0.75,1.46,10.28
Nyctibius grandis,0.86,2.61,16.5
Nyctibius aethereus,0.82,2,14.24
Nyctibius jamaicensis,0.84,2.27,15.14
Nyctibius griseus,0.8,2.08,13.46
Nyctibius maculosus,0.78,1.67,11.84
Nyctibius leucopterus,0.75,1.46,10.38
Nyctibius bracteatus,0.72,1.32,9.39
Eurostopodus argus,0.77,1.84,12.71
Eurostopodus mystacalis,0.83,2.17,15.15
Eurostopodus nigripennis,0.56,1.33,10.95
Eurostopodus exul,0.56,1.33,10.95
Eurostopodus diabolicus,0.8,1.88,11.84
Eurostopodus archboldi,0.79,1.77,11.35
Eurostopodus papuensis,0.79,1.79,11.46
Lyncornis macrotis,0.81,2,13.27
Lyncornis temminckii,0.78,1.78,11.33
Gactornis enarratus,0.73,1.52,10.52
Chordeiles nacunda,0.78,1.97,10.81
Chordeiles pusillus,0.74,1.48,8.05
Chordeiles minor,0.78,1.81,11.6
Chordeiles gundlachii,0.72,1.57,9.01
Chordeiles acutipennis,0.72,1.56,8.37
Chordeiles rupestris,0.76,1.61,8.68
Lurocalis semitorquatus,0.76,1.77,11.39
Lurocalis rufiventris,0.75,1.47,10.43
Nyctiprogne leucopyga,0.64,1.12,8.37
Nyctiprogne vielliardi,0.7,1.27,9.22
Nyctipolus nigrescens,0.75,1.53,9.67
Nyctipolus hirundinaceus,0.72,1.35,9.77
Systellura roraimae,0.56,1.33,10.95
Systellura decussata,0.56,1.33,10.95
Systellura longirostris,0.72,1.54,11.01
Nyctidromus albicollis,0.76,1.15,10.48
Nyctidromus anthonyi,0.73,1.05,9.48
Eleothreptus anomalus,0.61,1.23,9.64
Eleothreptus candicans,0.73,1.5,10.34
Uropsalis segmentata,0.71,1.28,9.16
Uropsalis lyra,0.74,1.41,10.07
Setopagis heterura,0.7,1.24,8.95
Setopagis parvula,0.69,1.42,9.8
Setopagis whitelyi,0.71,1.3,9.28
Setopagis maculosa,0.56,1.35,10.95
Hydropsalis climacocerca,0.73,1.48,9.72
Hydropsalis torquata,0.72,1.56,10.73
Hydropsalis cayennensis,0.73,1.47,9.57
Hydropsalis maculicaudus,0.7,1.37,9.19
Macropsalis forcipata,0.75,1.6,11.99
Siphonorhis americana,0.56,1.33,10.95
Siphonorhis brewsteri,0.7,1.32,9.78
Nyctiphrynus rosenbergi,0.72,1.33,9.44
Nyctiphrynus mcleodii,0.71,1.41,9.89
Nyctiphrynus yucatanicus,0.66,1.15,8.52
Nyctiphrynus ocellatus,0.72,1.44,9.74
Phalaenoptilus nuttallii,0.63,1.13,11.11
Antrostomus vociferus,0.73,1.15,10.49
Antrostomus arizonae,0.56,1,9.5
Antrostomus noctitherus,0.73,1.06,8.87
Antrostomus saturatus,0.77,1.19,9.47
Antrostomus ridgwayi,0.73,1.08,9.3
Antrostomus salvini,0.74,1.11,9.61
Antrostomus badius,0.74,1.13,9.6
Antrostomus sericocaudatus,0.73,1.16,10.13
Antrostomus carolinensis,0.75,1.27,11.36
Antrostomus rufus,0.78,1.28,10.54
Antrostomus cubanensis,0.76,1.19,10.03
Antrostomus ekmani,0.74,1.12,9.48
Caprimulgus ruficollis,0.71,1.17,12.24
Caprimulgus indicus,0.73,1.24,12.23
Caprimulgus jotaka,0.55,1,12.57
Caprimulgus phalaena,0.55,1,12.57
Caprimulgus europaeus,0.71,1.16,12.73
Caprimulgus fraenatus,0.73,1.14,10.45
Caprimulgus rufigena,0.7,1.11,11
Caprimulgus aegyptius,0.72,1.2,12.54
Caprimulgus mahrattensis,0.77,1.14,12.57
Caprimulgus centralasicus,0.55,1.04,12.57
Caprimulgus nubicus,0.72,1.09,10.27
Caprimulgus eximius,0.72,1.12,10.92
Caprimulgus atripennis,0.74,1.05,10.93
Caprimulgus macrurus,0.74,1.16,10.92
Caprimulgus meesi,0.75,1.07,10.93
Caprimulgus andamanicus,0.55,1,12.57
Caprimulgus manillensis,0.74,1.17,11.22
Caprimulgus celebensis,0.75,1.04,10.42
Caprimulgus concretus,0.75,1.17,10.6
Caprimulgus pulchellus,0.73,1.13,10.5
Caprimulgus donaldsoni,0.67,0.95,8.89
Caprimulgus pectoralis,0.72,1.1,10.57
Caprimulgus poliocephalus,0.69,1.02,9.63
Caprimulgus asiaticus,0.71,0.98,10.33
Caprimulgus madagascariensis,0.69,1.02,10.14
Caprimulgus natalensis,0.78,1.26,11.98
Caprimulgus solala,0.75,1.04,10.55
Caprimulgus inornatus,0.68,1.06,10.29
Caprimulgus stellatus,0.71,1,10.58
Caprimulgus affinis,0.78,1.24,12.2
Caprimulgus tristigma,0.73,1.16,10.98
Caprimulgus prigoginei,0.75,1.04,10.5
Caprimulgus batesi,0.77,1.31,11.83
Caprimulgus climacurus,0.67,1.04,9.99
Caprimulgus clarus,0.69,1.02,9.54
Caprimulgus fossii,0.7,1.13,10.85
Caprimulgus longipennis,0.69,1.09,10.29
Caprimulgus vexillarius,0.72,1.18,11.31
Veles binotatus,0.69,1.32,9.76
Aegotheles savesi,0.71,1.36,10.14
Aegotheles insignis,0.74,1.44,10.24
Aegotheles tatei,0.72,1.33,9.52
Aegotheles crinifrons,0.77,1.6,11.23
Aegotheles cristatus,0.66,1.3,9.59
Aegotheles affinis,0.56,1.33,10.95
Aegotheles bennettii,0.73,1.36,9.75
Aegotheles wallacii,0.72,1.32,9.41
Aegotheles archboldi,0.69,1.2,8.55
Aegotheles albertisi,0.7,1.23,8.83
Hemiprocne coronata,0.62,1.14,8.81
Hemiprocne longipennis,0.68,1.23,9.01
Hemiprocne comata,0.63,1.07,7.91
Hemiprocne mystacea,0.78,1.74,11.14
Cypseloides cherriei,0.72,1.02,10.33
Cypseloides cryptus,0.75,1.11,11.48
Cypseloides storeri,0.69,1.05,11.8
Cypseloides niger,0.73,1.14,12.92
Cypseloides lemosi,0.69,0.98,10.62
Cypseloides rothschildi,0.69,1.07,12.23
Cypseloides fumigatus,0.73,1.15,12.43
Cypseloides senex,0.7,1.21,13.52
Streptoprocne rutila,0.65,1.26,8.37
Streptoprocne phelpsi,0.67,1.12,8.01
Streptoprocne zonaris,0.74,1.68,11.11
Streptoprocne biscutata,0.71,1.49,11.04
Streptoprocne semicollaris,0.77,1.93,13.41
Mearnsia picina,0.7,1.28,9.2
Mearnsia novaeguineae,0.69,1.21,8.69
Zoonavena grandidieri,0.6,0.97,7.26
Zoonavena thomensis,0.6,1.01,6.64
Zoonavena sylvatica,0.57,0.99,7.34
Telacanthura ussheri,0.63,1.19,8.06
Telacanthura melanopygia,0.68,1.27,9.44
Rhaphidura leucopygialis,0.65,1.02,7.26
Rhaphidura sabini,0.64,1.16,7.66
Neafrapus cassini,0.67,1.21,8.94
Neafrapus boehmi,0.62,1.09,7.57
Chaetura fumosa,0.66,0.96,8.51
Chaetura spinicaudus,0.67,0.96,8.35
Chaetura martinica,0.64,1.01,8.4
Chaetura cinereiventris,0.65,1.03,8.29
Chaetura egregia,0.68,1.04,9.23
Chaetura vauxi,0.59,1,9.17
Chaetura pelagica,0.59,1.02,9.67
Chaetura chapmani,0.72,1.24,9.53
Chaetura meridionalis,0.63,1.09,9.29
Chaetura brachyura,0.6,0.97,7.98
Hirundapus caudacutus,0.54,1.41,11.5
Hirundapus cochinchinensis,0.56,1.45,10.91
Hirundapus giganteus,0.61,1.55,10.77
Hirundapus celebensis,0.66,1.69,12.14
Collocalia troglodytes,0.45,0.82,10.25
Collocalia linchi,0.51,0.87,10.19
Collocalia esculenta,0.55,1.04,10.06
Hydrochous gigas,0.66,1.18,8.74
Aerodramus papuensis,0.66,1.1,9.41
Aerodramus whiteheadi,0.63,1.03,9
Aerodramus nuditarsus,0.64,1.02,8.75
Aerodramus orientalis,0.64,1.02,8.77
Aerodramus infuscatus,0.64,1.02,8.68
Aerodramus hirundinaceus,0.68,1.19,8.47
Aerodramus terraereginae,0.62,1,8.83
Aerodramus brevirostris,0.53,0.98,9.24
Aerodramus vulcanorum,0.65,1.16,8.56
Aerodramus maximus,0.66,1.07,9.06
Aerodramus vanikorensis,0.66,1.16,8.24
Aerodramus sawtelli,0.63,1.07,8.25
Aerodramus leucophaeus,0.63,1.02,8.85
Aerodramus inquietus,0.67,1.21,8.77
Aerodramus pelewensis,0.69,1.26,9.03
Aerodramus bartschi,0.59,0.91,7.99
Aerodramus mearnsi,0.62,0.99,8.61
Aerodramus spodiopygius,0.64,1.09,8.08
Aerodramus unicolor,0.62,0.98,8.56
Aerodramus francicus,0.63,1.07,8.33
Aerodramus elaphrus,0.68,1.2,8.56
Aerodramus fuciphagus,0.63,0.98,8.29
Aerodramus salangana,0.66,1.17,8.28
Schoutedenapus myoptilus,0.64,1.09,8.08
Schoutedenapus schoutedeni,0.68,1.16,8.27
Aeronautes saxatalis,0.57,1.14,9.32
Aeronautes montivagus,0.67,1.1,8.13
Aeronautes andecolus,0.63,1.08,8.37
Tachornis phoenicobia,0.55,0.94,6.94
Tachornis furcata,0.59,0.89,6.46
Tachornis squamata,0.6,1.04,7.01
Panyptila sanctihieronymi,0.7,1.31,9.63
Panyptila cayennensis,0.66,1.22,8.09
Cypsiurus parvus,0.63,1.12,7.41
Cypsiurus balasiensis,0.63,1.08,7.4
Tachymarptis melba,0.76,2.22,16.29
Tachymarptis aequatorialis,0.78,2.36,15.93
Apus acuticauda,0.61,1.95,11.76
Apus pacificus,0.66,2.16,13.69
Apus caffer,0.62,1.92,10.33
Apus batesi,0.68,2.11,11.38
Apus horus,0.64,1.93,11.14
Apus nipalensis,0.63,1.89,10.94
Apus affinis,0.62,1.93,10.48
Apus niansae,0.65,2.08,11.32
Apus bradfieldi,0.69,2.19,12.72
Apus barbatus,0.68,2.28,12.9
Apus sladeniae,0.71,2.28,12.5
Apus balstoni,0.76,2.5,14.18
Apus berliozi,0.71,2.35,13.17
Apus unicolor,0.68,2.12,12.64
Apus alexandri,0.68,2.11,11.92
Apus pallidus,0.7,2.3,13.99
Apus apus,0.64,2.05,13.3
Topaza pella,0.6,1.15,8.56
Topaza pyra,0.6,1.15,8.66
Florisuga mellivora,0.57,0.99,7.65
Florisuga fusca,0.54,1.06,8.66
Eutoxeres aquila,0.59,1.12,8.38
Eutoxeres condamini,0.59,1.12,8.59
Ramphodon naevius,0.55,1,8.18
Glaucis dohrnii,0.55,0.99,7.89
Glaucis aeneus,0.54,0.96,7.38
Glaucis hirsutus,0.56,1.03,7.74
Threnetes ruckeri,0.54,0.97,7.47
Threnetes leucurus,0.55,0.99,7.44
Threnetes niger,0.55,0.99,7.38
Anopetia gounellei,0.5,0.83,6.57
Phaethornis squalidus,0.51,0.9,7.26
Phaethornis rupurumii,0.53,0.86,6.73
Phaethornis longuemareus,0.5,0.87,6.67
Phaethornis aethopygus,0.56,1.33,10.95
Phaethornis idaliae,0.49,0.85,6.83
Phaethornis nattereri,0.5,0.84,6.62
Phaethornis atrimentalis,0.5,0.81,6.28
Phaethornis striigularis,0.5,0.87,6.78
Phaethornis griseogularis,0.5,0.79,6.13
Phaethornis porcullae,0.56,1.33,10.95
Phaethornis ruber,0.49,0.84,6.41
Phaethornis stuarti,0.49,0.82,6.6
Phaethornis subochraceus,0.51,0.87,7
Phaethornis augusti,0.55,1,7.66
Phaethornis pretrei,0.55,0.99,7.83
Phaethornis eurynome,0.54,0.98,7.96
Phaethornis anthophilus,0.55,1,7.67
Phaethornis hispidus,0.54,0.97,7.34
Phaethornis yaruqui,0.51,0.98,7.38
Phaethornis guy,0.56,1.01,7.59
Phaethornis syrmatophorus,0.55,0.99,7.43
Phaethornis koepckeae,0.54,0.97,7.48
Phaethornis philippii,0.54,0.92,7.2
